job_id,time_id,country_id,city_id,company_id,job_title,seniority_level,salary_usd,ai_intensity_score,automation_risk_score
836b4774-702e-49ef-93d3-2f255ce1e910,1,1,1,1,Policy Analyst,Lead,61586,"0,81","0,11"
43699e93-7b15-4728-a4c6-9e41ff438a25,2,2,2,2,Data Scientist,Executive,62045,"0,04","0,71"
fc9d1854-3cbf-4bab-90df-77304dfc59df,3,3,3,3,Product Manager,Junior,27035,"0,15","0,86"
05c1c7d3-2add-4919-91eb-f6c78bfe23d1,2,4,4,4,Data Scientist,Mid,72894,"0,19","0,7"
5e739937-d1b0-44d7-935c-7ebb3fc1f6e8,4,5,3,5,ML Engineer,Lead,57215,"0,11","0,87"
3eaa8f95-6ada-4e08-ad17-ca924707d66f,5,6,1,6,ML Engineer,Senior,67379,"0,77","0,29"
1da6731c-2a17-4fde-b43a-3281912bc31d,3,7,2,7,Software Engineer,Mid,63931,"0,11","0,6"
85cccc9e-f1c0-4b09-80c0-ab91b09d6f6b,4,8,5,8,Systems Engineer,Executive,39525,"0,03","0,89"
2e7cd904-6aaf-4138-9464-1ad4971c25bf,6,9,6,9,Policy Analyst,Junior,29117,"0,44","0,25"
bcf3fde0-b3e8-457f-9b90-fa1716e92bae,7,10,7,10,AI Researcher,Junior,24450,"0,2","0,7"
510a083d-c929-452e-bca9-2224547c3f26,8,11,8,11,ML Engineer,Senior,73953,"0,19","0,75"
a1d10e35-770f-4502-9e76-66b978753835,4,12,9,12,Data Scientist,Lead,77948,"0,01","0,69"
e39cdd94-1247-4380-89db-56c8a4b84f06,6,13,2,13,Operations Manager,Lead,90257,"0,53","0,19"
5654e8ea-4fba-43f3-b7dc-d9d01972a6f6,9,14,4,14,Software Engineer,Junior,64424,"0,09","0,9"
21f7cb94-8074-4252-b5cc-aff4ef10f046,1,15,10,15,Operations Manager,Lead,38150,"0,75","0,2"
c6e702bd-18d7-4197-a824-3e5f84e11474,4,3,7,16,AI Researcher,Junior,32930,"0,78","0,27"
2271ac88-cf80-44e3-92a4-53287e166a52,2,16,6,17,Data Scientist,Executive,18976,"0,17","0,74"
9357ad9b-1bec-4d4f-8f1f-f16f11d59302,5,3,6,18,Research Scientist,Senior,31038,"0,02","0,89"
09bdb9b7-3e71-4e27-a2d4-1373b104850f,7,17,2,19,Product Manager,Lead,103705,"0,11","0,8"
31370a02-1a92-4026-a7ec-76985675e6e5,4,7,3,20,Business Analyst,Junior,60168,"0,08","0,77"
2a36105f-9ede-4dbf-a803-e49a65790c86,10,18,11,21,Systems Engineer,Executive,97050,"0,52","0,17"
fce15c4e-c867-4d79-8acd-b82136b50b56,6,6,11,22,Research Scientist,Executive,47653,"0,11","0,64"
8dd1bce3-ab19-4c1f-a886-a3eea77a7577,11,7,12,23,Software Engineer,Senior,102722,"0,58","0,17"
cd3daa05-91a7-4e26-bbe7-a955c93ff38e,5,17,5,24,AI Researcher,Mid,92058,"0,06","0,85"
87e6f4f5-16ce-4479-9ce4-6d3973e37e11,12,19,9,25,Product Manager,Junior,31284,"0,01","0,74"
c24dc783-b4fa-49d9-895c-27a0916160da,8,17,8,26,AI Researcher,Junior,75382,"0,16","0,88"
43abfb21-52d6-429c-84e9-b22ddc426580,10,20,8,27,Research Scientist,Intern,56598,"0,92","0,35"
9a2124ed-634e-4002-b7af-21e5a15bf1bd,13,8,12,28,ML Engineer,Executive,51789,"0,02","0,85"
